paradigm,regime,shuffled,subject,n,acc,ci_lo,ci_hi,sig_thresh,majority,train_acc
imagined,"B within-subj, leave-run-out",False,20,42,0.5238095238095238,0.3641779709213327,0.6799594911397739,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,22,45,0.6888888888888889,0.533508970087884,0.8183411960662779,0.6222222222222222,0.5111111111111111,
imagined,"B within-subj, leave-run-out",False,25,42,0.5714285714285714,0.40961127076287,0.7227932522003722,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,26,42,0.7619047619047619,0.605497570978424,0.8794838135078201,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,27,42,0.6190476190476191,0.4563674954978985,0.7642794531367836,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,30,45,0.4666666666666667,0.3166008229974236,0.6212799839125356,0.6222222222222222,0.5333333333333333,
imagined,"B within-subj, leave-run-out",False,31,42,0.9761904761904762,0.8743414428250078,0.9993973766983965,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,32,45,0.6888888888888889,0.533508970087884,0.8183411960662779,0.6222222222222222,0.5333333333333333,
imagined,"B within-subj, leave-run-out",False,33,42,0.7380952380952381,0.5796033128823919,0.8613898679115296,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,35,45,0.8,0.6540417022050522,0.9042427303088574,0.6222222222222222,0.5111111111111111,
imagined,"B within-subj, leave-run-out",False,36,42,0.5952380952380952,0.43282089072003677,0.7437090745163419,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,37,43,0.46511627906976744,0.31176187902234953,0.6234527398899243,0.627906976744186,0.5116279069767442,
imagined,"B within-subj, leave-run-out",False,39,42,0.5,0.3419475770509645,0.6580524229490354,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,41,44,0.5454545454545454,0.3884721224729164,0.6960928864843264,0.6136363636363636,0.5227272727272727,
imagined,"B within-subj, leave-run-out",False,43,42,0.7380952380952381,0.5796033128823919,0.8613898679115296,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,46,45,0.5111111111111111,0.35774038567003036,0.6629662516072066,0.6222222222222222,0.5111111111111111,
imagined,"B within-subj, leave-run-out",False,49,42,0.6904761904761905,0.5291393710678833,0.8237789173580449,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,50,42,0.5238095238095238,0.3641779709213327,0.6799594911397739,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,51,45,0.6222222222222222,0.4654101126463728,0.7623217552722018,0.6222222222222222,0.5333333333333333,
imagined,"B within-subj, leave-run-out",False,52,42,0.6904761904761905,0.5291393710678833,0.8237789173580449,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,54,42,0.7857142857142857,0.6318843660680237,0.8970403501027812,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,57,45,0.5555555555555556,0.3999734964036788,0.7035560761341417,0.6222222222222222,0.5333333333333333,
imagined,"B within-subj, leave-run-out",False,59,42,0.38095238095238093,0.23572054686321633,0.5436325045021015,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,60,42,0.8095238095238095,0.6588155863958433,0.9139944055440679,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,61,45,0.7555555555555555,0.6046290712401733,0.871177185396492,0.6222222222222222,0.5111111111111111,
imagined,"B within-subj, leave-run-out",False,63,42,0.5714285714285714,0.40961127076287,0.7227932522003722,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,66,45,0.4444444444444444,0.2964439238658582,0.6000265035963211,0.6222222222222222,0.5111111111111111,
imagined,"B within-subj, leave-run-out",False,68,42,0.47619047619047616,0.32004050886022595,0.6358220290786671,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,69,42,0.5476190476190477,0.38673178723787444,0.7015411868036825,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,70,42,0.7619047619047619,0.605497570978424,0.8794838135078201,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,73,42,0.47619047619047616,0.32004050886022595,0.6358220290786671,0.6190476190476191,0.5,
